"stock","sector","2024TotalRevenue","2024NetIncome","2024TotalAssets","2024CurrentLiabilities","2024TotalLiabilitiesNetMinorityInterest","2024TotalEquityGrossMinorityInterest","2024InvestingCashFlow","2024ShareIssued","2024WorkingCapital","2024CostOfRevenue","2023TotalRevenue","2023NetIncome","2023TotalAssets","2023CurrentLiabilities","2023TotalLiabilitiesNetMinorityInterest","2023TotalEquityGrossMinorityInterest","2023InvestingCashFlow","2023ShareIssued","2023WorkingCapital","2023CostOfRevenue","2022TotalRevenue","2022NetIncome","2022TotalAssets","2022CurrentLiabilities","2022TotalLiabilitiesNetMinorityInterest","2022TotalEquityGrossMinorityInterest","2022InvestingCashFlow","2022ShareIssued","2022WorkingCapital","2022CostOfRevenue","2021TotalRevenue","2021NetIncome","2021TotalAssets","2021CurrentLiabilities","2021TotalLiabilitiesNetMinorityInterest","2021TotalEquityGrossMinorityInterest","2021InvestingCashFlow","2021ShareIssued","2021WorkingCapital","2021CostOfRevenue"
"AGYO","REAL ESTATE INVESTMENT TRUSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34677333,80578605,614539183,3785055,9028432,605510751,-2524015,263340000,18209719,17130101
"AHGAZ","ELECTRICITY GAS AND WATER",30204572621,1764261082,100607416028,41301295902,60525920698,40081495330,-9591253410,2.6e+09,3968187131,26329934792,28938103162,4478051143,61973224611,12950197280,26244880976,35728343635,-3406728442,2.6e+09,3761021159,26816991401,23481276300,2603352912,29546314335,9789004069,15015451626,14530862709,-409933531,2.6e+09,979098599,21802144258,3700025016,130760997,3548863943,2383892937,3892986681,-344122738,-147426929,2.6e+09,-758414617,3215316577
"AHSGY","REAL ESTATE INVESTMENT TRUSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29816713,1351086745,3668232418,259939598,260200980,3408031438,367572,1.95e+08,-5079522,NA,40870202,294534914,2659103992,151092446,602154551,2056949441,-19630046,1.95e+08,113198365,NA,36604044,236443895,2355160538,182228037,592760203,1762400335,-692987,1.95e+08,150629672,NA
"AKBNK","BANKS",160261678000,42366116000,2653105361000,NA,2412721713000,240383648000,-129996592000,5.2e+09,NA,NA,150431745000,66496235000,1904769488000,NA,1693550781000,211218707000,-155554235000,5.2e+09,NA,NA,111772356000,60025707000,1147294180000,NA,993688310000,153605870000,-42479754000,5.2e+09,NA,NA,39513098000,12127191000,762798330000,NA,686839017000,75959313000,-45566521000,5.2e+09,NA,NA
"AKCNS","NON-METALLIC MINERAL PRODUCTS",21614189000,1672507000,28397707000,6771381000,7842945000,20554762000,-719289000,191447068,4086429000,18009034000,27034142000,3423526000,28314521000,7753078000,8393705000,19920816000,-1211771000,191447068,3484766000,21291440000,16683577346,1934964500,18581535118,6516940029,7240806946,11340728172,-899808550,191447068,818110438,15283625861,2871403785,303618933,3503196955,1796321732,1960606954,1542590001,-96002002,191447068,-1047606,2450487165
"AKENR","ELECTRICITY GAS AND WATER",25484603000,-3297738000,34755172000,3904152000,21109287000,13645885000,-101461000,729164000,-745865000,25066442000,34177798000,7276486000,46128535000,11872978000,26231382000,19897153000,-861024000,729164000,-8224515000,32004614000,32710184429,2104990445,37804276653,5572785941,27865404610,9938872043,-568265124,729164000,628198106,30241437818,3917844338,-2530261924,13111835774,1594068911,11533631670,1578204104,-160891011,729164000,-65823200,3317028107
"AKFGY","REAL ESTATE INVESTMENT TRUSTS",1216284193,1445018330,30709735374,1424474122,7345007328,23364728046,1951984523,3.9e+09,2838561695,47874880,1580810406,1048787676,33756400158,3059263374,10969178971,22787221187,-1070233433,3890703214,4586724695,54411254,946350358,1332820424,20511689781,508292705,7478773555,13032916226,-789832377,2610743801,75787538,37723020,191493644,2083753201,6863235275,196541836,2510083676,4353151599,-507716715,2610743801,-2262274,13997292
"AKFIS","CONSTRUCTION AND PUBLIC WORKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3186220000,2772161000,46190431000,6465663000,26894117000,19296314000,168162000,636584078,87388000,3257860000,2127722000,2144702000,45625240000,5389843000,29010928000,16614312000,89692000,636584078,615351000,2178469000,2434418000,2301619000,55806449000,7006483000,40053175000,15753274000,746274000,636584078,316818000,2216729000
"AKFYE","ELECTRICITY GAS AND WATER",5097377000,157356000,49618465000,2895776000,13299564000,36318901000,-1979810000,1196962446,-447933000,3103578000,6299589000,6568281000,49926058000,4536941000,20425912000,29500146000,-210239000,1016031947,-2075848000,3122898000,4937829000,-1576407000,33705907000,3940110000,18444804000,15261103000,-37567000,1016032000,-1578387000,2063337000,1291036000,408070000,14567983000,1734409000,9071896000,5496087000,-5979000,1016031947,-676663000,606615000
"AKGRT","INSURANCE COMPANIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12629198332,1150606227,21125792308,NA,17890276463,3235515845,-4104914052,1.612e+09,NA,NA,7227436471,-127345302,12837434640,NA,10894557561,1942877079,662536641,1.612e+09,NA,NA,4641711530,189396766,7387862715,NA,6338572673,1049290042,-486389402,1200695760,NA,NA
"AKMGY","REAL ESTATE INVESTMENT TRUSTS",783498253,524404659,8659563749,27147202,1337943971,7321619778,144363148,37264000,638583461,187760047,720281212,716908965,8250899239,38946458,50191456,8200707783,56081000,37264000,471716343,180151717,436753429,-159353321,5442167902,20071970,32003426,5410164476,13966543,37264000,259494711,98899478,120661663,649124655,2152790902,4758807,7797814,2144993088,2958070,37264000,83647995,25580653
"AKSA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",28361359000,1136625000,35632848000,9926782000,11755963000,23876885000,-3406328000,3.885e+09,2677847000,24105577000,34553569000,2385110000,36097130000,9948059000,11936031000,24161099000,-2565641000,3.885e+09,4162578000,28846492000,34464528000,4563874000,25372757000,7158954000,9353820000,16018937000,-2050507000,3.885e+09,3455049000,28830258000,8348157000,1167208000,9443050000,5908199000,6608771000,2834279000,-550069000,3.885e+09,120117000,6504250000
"AKSEN","ELECTRICITY GAS AND WATER",31638819822,2007268539,82773559774,21714607504,38242141413,44531418361,-18606702232,1226338236,-6900245907,24950644221,50781705280,7935940468,80573109117,19875543884,30566170558,50006938559,-6092419382,1226338236,4799921532,40364107718,87101671476,5581565888,55203703045,13155653440,22789493424,32414209621,-3355458505,1226338236,5651094831,76510664856,13887496594,1679749785,20649538050,6271870323,10065329836,10584208214,-2747095115,1226338236,857229647,11808767055
"AKSGY","REAL ESTATE INVESTMENT TRUSTS",3296338460,4010583424,37302238596,1978061239,5361520352,31940718244,-54107600,2.415e+09,-617298379,780563357,3720861035,4848900868,34551643370,2496523733,5339965852,29211677518,113514789,2.415e+09,-160456241,1233416653,1701787022,3895842441,23574159761,3069209596,6670400321,16903759440,916403229,2.415e+09,-806233665,431246482,415948894,237917449,7729416023,1245928174,3591288786,4138127237,34473810,2.415e+09,-671097006,98065709
