"stock","sector","2024TotalRevenue","2024NetIncome","2024TotalAssets","2024CurrentLiabilities","2024TotalLiabilitiesNetMinorityInterest","2024TotalEquityGrossMinorityInterest","2024InvestingCashFlow","2024ShareIssued","2024WorkingCapital","2024CostOfRevenue","2023TotalRevenue","2023NetIncome","2023TotalAssets","2023CurrentLiabilities","2023TotalLiabilitiesNetMinorityInterest","2023TotalEquityGrossMinorityInterest","2023InvestingCashFlow","2023ShareIssued","2023WorkingCapital","2023CostOfRevenue","2022TotalRevenue","2022NetIncome","2022TotalAssets","2022CurrentLiabilities","2022TotalLiabilitiesNetMinorityInterest","2022TotalEquityGrossMinorityInterest","2022InvestingCashFlow","2022ShareIssued","2022WorkingCapital","2022CostOfRevenue","2021TotalRevenue","2021NetIncome","2021TotalAssets","2021CurrentLiabilities","2021TotalLiabilitiesNetMinorityInterest","2021TotalEquityGrossMinorityInterest","2021InvestingCashFlow","2021ShareIssued","2021WorkingCapital","2021CostOfRevenue"
"DERIM","TEXTILE, WEARING APPAREL AND LEATHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2612135067,12283110,900736474,640670858,669773200,230963274,-2117384,5.4e+07,228869012,2298070010,1992452896,-43768054,901752058,664510298,678869396,222882662,-2421040,5.4e+07,222633123,1711276373,376919122,2730784,360787414,278058486,287016194,73771220,NA,47691585,77261679,322167654
"DESA","TEXTILE, WEARING APPAREL AND LEATHER",2980107198,327726027,4022121868,1126406464,1343300552,2678821316,-41159427,4.9e+08,1483478335,1270592879,3536449564,716179984,3739193975,1191497886,1394643840,2344550135,-83362984,4.9e+08,1240115231,1779250505,2545112549,196501651,2335274370,924296211,1232012677,1103261693,-45423936,489999995,599856476,1494777402,432405300,46351875,635435046,260967538,427484347,207950699,64464993,489999995,160553704,240677306
"DESPC","TECHNOLOGY",7328317134,15199893,2711724748,2363588631,2369962678,341762070,-4523686,2.3e+07,317856469,6918842409,5847130740,-114730388,1856868697,1526898438,1529903820,326964877,-1681423,2.3e+07,284439737,5587705573,2572338443,-84152954,718183643,407300223,412415560,305768083,-170451,2.3e+07,288634386,2364002635,774702184,41667900,399093626,257855698,259453273,139640353,-112447,2.3e+07,137046706,718081808
"DEVA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",15458482050,69419646,29729320586,7639684858,8918261056,20811059530,-2414453039,200019288,4645668313,9285733042,16358568181,4887825625,32404333087,9985468231,11060692640,21343640447,-5844739067,200019288,6638104708,9506456133,8712735438,851061391,20535798937,6650553737,9005622782,11530176155,-4163562311,200019288,3030229685,5828678882,2330367791,1170087476,5079931877,1632487265,2352155032,2727776845,-739848092,200019288,1735440617,971238808
"DGATE","TECHNOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5151007299,-137320345,1672700379,1344238014,1348072231,324628148,-2101777,3e+07,270650818,4847052345,4393335717,-127350893,1236681861,725481246,734215099,502466762,-407524,3e+07,468356528,4105723661,1892774228,31330097,603437686,361097609,363788374,239649312,-516376,3e+07,231010250,1799954140
"DGGYO","REAL ESTATE INVESTMENT TRUSTS",801570945,978176125,14890642434,615502141,4180448091,10710194343,-81585695,332007786,-547469905,141068443,791931515,2665299853,14456131610,795026455,4475472097,9980659513,-5976626,332007786,-621117110,122939097,476659617,3965478925,8405879171,602790830,3338450460,5067428711,814903348,332007786,-535151764,82057456,151169448,-229276304,2439909289,348755440,2034548168,405361121,-3303698,332007786,61751432,22825259
"DGNMO","WOOD PRODUCTS INCLUDING FURNITURE",11836689052,-453520324,9831935945,5555028528,6637399148,3194536797,-445637000,345830251,-2489516191,8226802907,12109162850,896647482,7364851131,4239597736,5169012280,2195838851,-1179087880,3.5e+08,-715940424,7985710967,7469783047,409754406,6713859450,3683663755,5000522763,1713336687,-958332747,3.5e+08,-455480617,4593757322,1744206723,25757797,1745248010,1077528867,1550645793,194602217,-153375753,3.5e+08,-87222579,1172240465
"DIRIT","TEXTILE, WEARING APPAREL AND LEATHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DITAS","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",1680957574,-205603997,1492050091,1085052449,1252221516,239828575,-57915005,8.5e+07,-336403697,1634485300,2178334583,-23319557,1712193534,1026415044,1254339745,457853789,-212137404,8.5e+07,-126029392,2086044380,1496551396,26921838,1247008675,670716566,904326146,342682529,-94058751,82873936,10031569,1355646190,258035502,27348754,353729540,181100018,276953186,76776354,-16864953,81471997,25262259,185065045
"DMRGD","FOOD, BEVERAGE AND TOBACCO",813991955,139705308,1961673026,366008867,513750537,1447922489,-213776346,185300000,619388984,462682632,1027004205,196362398,2371469920,409994008,478806787,1892663133,-68808035,185300000,1189148426,556518656,583355928,-26669987,1341609734,736549431,844516427,497093307,NA,185300000,-173269064,417546492,61002574,2742659,179179656,54219309,68391071,110788585,-10541684,185300000,26720985,45026857
"DMSAS","BASIC METAL",3470404442,-85111845,2486545178,1158786452,1333564660,1152980518,-61500321,2e+08,-258948616,3092809967,4132326103,174104623,2292452533,1379393679,1509350501,783102032,-300447160,183361064,-223614552,3888440315,2751103539,-252511379,2175736879,1537387113,1640882721,534854158,-153531405,183361064,-308976273,4483262829,680882749,32038198,575963743,293565729,385336036,190627707,-47626502,201850607,107096786,601917195
"DNISI","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",416433551,-53822345,1328893565,77095836,287986443,1040907122,304661235,119728125,218519085,341433056,519168628,22077149,1050305224,141655108,292598884,757706340,31705021,119728125,165806193,443951289,388046597,32593492,909373130,163434073,253495860,655877270,-120666164,119728125,188391927,314192764,105803325,33688570,199909461,24635801,31536576,168372885,-31270348,119728125,79363649,84150230
"DOAS","WHOLESALE AND RETAIL TRADE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46781376000,7824186000,20665180000,8345575000,8958654000,11706526000,-873100000,2.2e+08,4951802000,36255256000,24306203000,2331581000,9754599000,5086738000,5390916000,4363683000,19868000,2.2e+08,1496554000,20784706000
"DOBUR","INFORMATION AND COMMUNICATION",553634005,-17462394,236314472,145618060,242447003,-6132531,-1570655,19559175,26239004,298824026,532016396,-9719517,266397079,164519713,229263072,37134007,-965488,19559175,56487970,295374494,300046798,-11198292,168298146,83370589,120897594,47400552,-4223794,19559175,62232035,169332346,89534861,10068543,70947547,32533568,46581428,24366119,-436691,19559175,28323032,51564888
"DOCO","HOTELS AND RESTAURANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOFER","BASIC METAL",3545423719,-79523114,1449417704,385966785,470291906,979125798,55120345,55750000,349050523,3441068326,3431776632,205380609,1770840619,532170078,668853854,1101986765,805996,55750000,519267698,3288367473,2870931778,35170808,1172395580,618476082,702193707,470201873,-1982,55750000,48290768,2704678478,927060984,6325803,310824388,149506627,200605523,110218865,-6122320,55750000,18690934,911513833
"DOGUB","NON-METALLIC MINERAL PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOHOL","HOLDING AND INVESTMENT COMPANIES",84492533000,4317271000,139667561000,47712727000,65628523000,74039038000,-9640275000,2616996091,35505687000,74035428000,75706159000,-210182000,134875359000,40433632000,55038818000,79836541000,-11088695000,2616996091,43249873000,62056377000,29606003000,232125000,83805566000,24909607000,33095699000,50709867000,-6641901000,2616938288,25739981000,24693630000,16822007000,2828476000,22294738000,5932448000,7975058000,14319680000,-1468405000,2616938288,9581224000,14480626000
"DOKTA","BASIC METAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9635997105,473074768,11600586084,3791251962,7134219894,4466366190,-613608857,3.24e+08,-212526434,7869177326,6380697108,104458901,7100451749,3062376274,4918510495,2181941254,-566638966,320019656,-438118748,5637425321,2722072097,347866012,4232553100,1792636299,3286175061,946378039,-312419405,315925269,-120238815,2227897945
"DURDO","PAPER AND PAPER PRODUCTS PRINTING",2003012837,-159201057,2410493691,861057091,1055918120,1354575571,37284,5e+08,184113250,1577889771,2176592843,168517538,1822948249,639434387,736242008,1086706241,311915249,499999999,191816493,1703718369,2200208160,498355406,2020860625,877099585,1006714623,1014146002,-47879068,499992500,208778523,1233047535,528698589,1324358,547769079,317814890,475917948,71851131,-35169159,499992500,21410284,340321920
"DURKN","FOOD, BEVERAGE AND TOBACCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DYOBY","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",10717640202,-168965390,14940158607,6450305061,8959301408,5980857199,-156026787,3e+08,-1452465111,7798850403,12312253250,471414261,15016560467,6078026232,9784038942,5232521525,-1897719496,3e+08,8218649,9425874658,8158310123,354446604,9244595506,3775348613,5704326105,3540269401,-1303684401,3e+08,483507880,6878844126,2300970012,-719980,2369895118,1459604410,1716803603,653091515,-55516085,3e+08,-55393574,1687561690
"DZGYO","REAL ESTATE INVESTMENT TRUSTS",482342925,478564111,4785343385,651715822,668702064,4116641321,-693734532,4e+08,1066178105,256985728,1098112599,99441351,3721651588,83332783,84236286,3637415302,-1131705028,4e+08,1314451346,986382857,1355050386,287646701,2854574628,401525580,404375525,2450199103,24256104,4e+08,1262044625,1295668898,466609988,98131858,1006506733,284358297,286568877,719937856,38724859,4e+08,335839910,338189240
"EBEBK","WHOLESALE AND RETAIL TRADE",18322394564,115984434,10054149184,5410057044,6429946146,3624203038,-890901390,1.6e+08,1092934731,11809750739,11359056626,302099366,6260516476,3094857984,3728157871,2532358605,-520344438,1.6e+08,1333584458,8159265254,8701964875,269414692,4434913708,2891832841,3428644820,1006268888,-289165790,1.6e+08,105468158,6596790518,2062506972,-2557819,1003006922,734078660,923159347,79847575,-78920522,1.6e+08,-84900731,1393191051
"ECILC","HOLDING AND INVESTMENT COMPANIES",8767346000,1023611000,56201409000,3758411000,11313663000,44887746000,1401167000,685260100,3363925000,5789653000,9355032000,3955745000,62800679000,4930133000,12489068000,50311611000,349851000,685260000,2984931000,6196327000,3466080000,2983175000,38633548000,2162271000,7392115000,31241433000,-3990057000,685260000,2185553000,2388816000,1103515000,1263582000,10094444000,542941000,1062115000,9032329000,66257000,685260000,1254106000,756729000
"ECZYT","HOLDING AND INVESTMENT COMPANIES",NA,443539717,20961702778,7326743,449499034,20512203744,591927179,1.05e+08,751652551,NA,NA,1405353111,24087486717,167512010,456844266,23630642451,637871789,1.05e+08,948843428,NA,NA,1032577525,15193046405,2692795,224719994,14968326411,158450037,1.05e+08,678820785,NA,NA,590721202,4583394280,33547839,99050271,4484344009,282658526,1.05e+08,377169341,NA
"EDATA","TECHNOLOGY",1200876303,-59944670,1005667440,292868950,314057937,691609503,128342084,402169995,533052042,1051249250,1670531741,94263223,1048342235,284384470,296592476,751749759,-68915860,402169995,569068031,1512572651,1088677565,7412327,677114231,193393890,207604564,469509667,-54652072,402169995,408772544,936127396,161607556,52374403,222655665,52555799,54724473,167931192,-21164027,402169995,148113249,129585292
"EDIP","CONSTRUCTION AND PUBLIC WORKS",561009409,934377091,6213050944,377091099,1511336834,4701714110,-4446493,6.5e+07,-227476521,255260177,550051971,2688293450,5893056997,340966316,2125445558,3767611439,-81926913,6.5e+07,-89732263,241175809,327016792,1041757505,3418568560,172891418,2669415878,749152682,-1989498,6.5e+07,4194782,166325863,73225538,-181150634,1010343268,98763889,1118816720,-108473452,47194627,6.5e+07,-31284335,36147533
"EFORC","FOOD, BEVERAGE AND TOBACCO",6732747042,441133242,8556767787,4256329949,4652944972,3903822815,-858331052,3.63e+08,929558077,NA,7484467837,705642834,5518405957,2275961620,2923948490,2594457467,-538546624,3.63e+08,572893487,NA,6008522156,165423264,3329094887,1846771097,2147698540,1181396347,-320793469,3.63e+08,168708798,NA,2626505808,179143763,1850938671,1174293980,1277166716,573771955,1662207,3.63e+08,80761517,NA
"EGEEN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3908932466,696243397,6264209601,989198436,2229687207,4034522394,-751004047,3150000,2112837748,2712511691,4296698147,626017164,3114757367,430755843,1366447344,1748310023,-950955660,3150000,1806323346,2999220018,1049472767,603525201,1393524530,252140047,275129982,1118394548,-85745065,3150000,807251059,624338770
"EGEGY","REAL ESTATE INVESTMENT TRUSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305952783,-39676135,3682461078,800829347,3596199791,86261287,-228230576,2e+08,245043359,190701212,1127581132,148254354,2067697892,234144565,1864806794,202891098,-38583599,2e+08,676327559,836356373,546436612,30332214,1367993266,1064699019,1442744790,-74751524,-1746553,2e+08,92400657,454509999
"EGEPO","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES",1008988643,-23700775,1696132703,174815610,303091921,1393040782,-73735988,1.25e+08,112427039,774162790,890795570,132506966,1828055074,177661013,410006149,1418048925,-144316436,1.25e+08,78519648,641257944,498938663,-146420886,1289825354,111744825,396638242,893187112,-136889044,1.25e+08,80646359,420260290,169766767,17440038,391061866,51037747,97749319,293312547,-99839126,1.25e+08,46705871,129620117
"EGGUB","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",2517516935,253526073,7441361869,201602422,1304594326,6136767543,-841523182,1e+08,1157089474,1446329899,3272300448,534481473,4631797467,363269494,461988121,4169809346,-247737944,1e+08,600079241,2169478427,2433439449,1001039114,4418373148,431803957,532001434,3886371714,-143531302,1e+08,392932121,1662121845,829471928,117972873,995842285,549136090,598206141,397636144,-147373571,1e+08,-56467061,529677847
"EGPRO","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",10633166932,885137752,12052259159,4803996624,5786940248,6265318911,-191571526,544999998,1245070595,7047620849,13457655794,727889822,13295684927,5669137548,6741420791,6554264136,-260210959,544999991,1627844471,8354561514,9434612168,264892686,8653738928,3801637254,4678137923,3975601005,-232079021,544999991,1364161821,6922983847,2626441513,287497034,3646225505,2304541257,2531071206,1115154299,-153896107,544999991,512603255,1906302896
"EGSER","NON-METALLIC MINERAL PRODUCTS",2691698301,-890001345,4399765627,1828914615,1988900345,2410865282,-909753970,7.2e+08,217212152,2686839742,3953206835,-155745952,4364545052,1043230396,1162139166,3202405886,-288782791,662527801,1780248558,2987965690,2221752055,379403409,1590555799,711034056,789363859,801191940,-114532101,937094594,487634551,1608162526,1061453090,262662670,1042894103,374874956,429586405,613307698,-46316100,937094594,436062967,675671979
"EKGYO","REAL ESTATE INVESTMENT TRUSTS",31899173000,13197381000,204902957000,108054429000,109099835000,95803122000,-651510000,3.8e+09,80682376000,23292968000,41141913000,-5882442000,175395726000,89842559000,92767186000,82628540000,-238918000,3.8e+09,74546373000,28879050000,21220172000,905060000,120939658000,53866415000,59395599000,61544059000,-212953000,3.8e+09,56822556000,16121781000,6754242000,1332323000,30760452000,12838385000,15013565000,15746887000,262646000,3.8e+09,13274833000,4536400000
"EKIZ","FOOD, BEVERAGE AND TOBACCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EKOS","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",2362171124,99529543,3988912139,998642476,1229672889,2759239250,-220033052,2.8e+08,1705644507,1930920722,1714426063,216708829,4089085514,1078814488,1332623865,2756461649,-148140530,2.8e+08,1796382071,1193143534,946785876,77698300,1721309603,662189527,912761450,808548153,-45751760,2.8e+08,496701202,681945881,234702572,20542214,435320080,233948861,277915538,157404542,NA,2.8e+08,128568833,173022601
"EKSUN","FOOD, BEVERAGE AND TOBACCO",10088375800,-695140206,4912830460,2791605388,2908908590,2003921870,49369709,6e+08,1363184252,9297147797,10259774506,-222002277,4807342299,2041024523,2126198524,2681143775,-347921828,599999995,2099011626,8875484401,7509459749,64871375,2843037587,2042844288,2126507669,716529918,364875877,599999995,396441041,6800540001,1549398092,7684885,1340896539,1182470842,1256155388,84741151,49735627,599999995,-5025806,1275825625
"ELITE","FOOD, BEVERAGE AND TOBACCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,855614657,128750335,1228990168,361642527,420427526,808562642,-65835971,129600000,430423681,434462217,1050677716,-60554996,1135639076,271699609,353615759,782023317,-34359689,129600000,478238360,417925451,305140837,38029272,434677068,179614256,198302572,236374496,-3485171,129600000,190675616,93900963
"EMKEL","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EMNIS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89783389,8144157,97240622,27563976,81634192,15606430,-240678,6200000,28743577,73082528
"ENERY","ELECTRICITY GAS AND WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENJSA","ELECTRICITY GAS AND WATER",190584779000,-4852783000,179752378000,67578894000,105296350000,74456028000,-16048264000,1181068970,-16189389000,147860380000,243515934000,6522060000,190719169000,69307578000,107305103000,83414066000,-20926191000,1181068970,-10565640000,206620691000,163312312000,20634560000,126123660000,51501244000,67285574000,58838086000,-11322927000,1181068970,-14706088000,140112627000,32994330000,2282368000,31333641000,14256376000,21982619000,9351022000,-3265918000,1181068970,-1460747000,24712503000
"ENKAI","CONSTRUCTION AND PUBLIC WORKS",2843867384.96839,698394428.202262,10282099527.7447,1555102257.86451,2270732137.11922,8011367390.62549,-181696091.165409,6e+09,2962734289.08269,2128462828.28191,2597541771.36316,574646052.462258,9378344960.0065,1415653712.52091,1977897378.24164,7400447581.76486,-162199608.531043,5862743582,2619431489.54615,2059896612.91306,3306653861.79297,104934352.729685,8583978748.9032,1482446872.25801,2034913593.85366,6549065155.04954,-966703404.883686,5860782600,2055128191.40968,2541718760.03167,1938426074.20774,387883312.657419,9121836622.68336,1759551971.73039,2365806473.44085,6756030149.24251,-255491222.134506,5999999599,3358077666.25315,1433985865.19304
"ENSRI","TEXTILE, WEARING APPAREL AND LEATHER",535277503,189512420,1850811595,445144762,706628289,1144183306,3387548,116800000,307315874,481188702,490895491,206225637,1556610212,455548100,600148183,956462029,-43434885,116800000,252788795,318175028,363593388,-18699506,897223570,312747075,375810376,521413194,-31618631,116800000,125745154,144788011,95834051,27218656,288264510,148907894,194283732,93980778,-44122983,116800000,-32857649,53165830
"ENTRA","ELECTRICITY GAS AND WATER",3072057000,1966359000,38270592000,4962414000,13547184000,24723408000,-2439923000,1.845e+09,-2977286000,2338075000,4170403000,1857168000,28008213000,3358361000,11096156000,16912057000,-2776725000,1.845e+09,-2854698000,2300770000,3157017000,3289822000,28124773000,3014780000,15861314000,12263459000,59794000,1.845e+09,-2086727000,963006000,1688224000,-3802461000,16637686000,3077160000,16819101000,-181415000,-2481000,1.845e+09,-2979630000,891708000
"EPLAS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERBOS","BASIC METAL",4509687885,-220671307,4152640718,1295480083,1536640048,2616000670,-11640030,2e+07,1552344324,4028448098,5486640887,-214814109,3205894426,1017238995,1196704028,2009190398,-19183880,2e+07,1238928867,4567876569,4761607074,126367847,3042892083,898069365,1041837375,2001054708,-33136446,2e+07,1479507543,3666676466,1296453339,196330583,1091741619,411186519,426066937,665674682,-5722587,2e+07,491194077,997726273
"ERCB","BASIC METAL",7249248079,28566668,12771489070,7155070676,9217767906,3553721164,-153073318,77770481,1523880524,5953747129,8262665347,92169263,9769179713,5227191866,6782637852,2986541861,-321517734,77770481,815797637,6803083519,3518000942,184752843,5147204539,2593409017,3296514929,1850689610,-37594216,77770481,276136813,2915114821,1050358860,24682354,3179721038,1374486515,2019480451,1160240587,-11789895,77770481,166058845,810592046
"EREGL","BASIC METAL",204059940000,13481348000,425158974000,76288847000,180734563000,244424411000,-35007825000,7e+09,106567437000,184055336000,147899792000,4033089000,310033249000,89291663000,118504367000,191528882000,-27330164000,7e+09,45226453000,132242934000,127782881000,18005034000,174893623000,35908584000,56231436000,118662187000,-12412441000,7e+09,44747641000,102244085000,68227404000,15527082000,126442297000,23477310000,41894693000,84547604000,-7520856000,7e+09,42216216000,42710993000
"ERSU","FOOD, BEVERAGE AND TOBACCO",120354342,-6112056,470726222,19430604,51223205,419503017,114446029,3.6e+07,161257965,106036285,116996458,-11074416,547019322,27183110,121837503,425181819,-2711598,3.6e+07,54893445,107139800,122917270,-39305568,421025937,44946819,117748921,303277016,-822021,3.6e+07,35196831,120966474,24872293,552882,91966671,12877692,23466027,68500644,-133905,3.6e+07,15365156,23881743
"ESCAR","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",2906716835,338198646,9906432192,1557401318,3840476780,6065955412,-479320307,5e+08,2182985315,2503209493,2990391064,1846802425,10253243616,1954440129,4353710182,5899533434,-312012079,499999998,1592485542,1311809098,1359577664,611817263,5848959597,850338646,2728622093,3120337504,-1571766549,499999998,1026367747,619168147,451803682,260188333,1152060203,233181944,626421299,525638904,-164863621,499999998,208331417,179458740
"ESCOM","TECHNOLOGY",369303911,-223321312,1714085352,47606925,55826257,1658259095,-47049,704842182,-25097774,NA,994880777,407869022,1912557129,29590968,31771119,1880786010,-81983,704842182,-12190131,NA,703381140,494287003,1038603422,18127077,19054666,1019548756,-317064,704842182,-4300081,NA,190650,101373074,197101336,2789897,2934675,194166661,-12655,704842182,5187018,NA
"ESEN","ELECTRICITY GAS AND WATER",1136465280,-68750135,17196488296,2078093664,5457854698,11738633598,-16716511,2.6e+08,-605176057,766729743,1337226226,109461002,19423983837,2098069682,6691010227,12732973610,-938532990,2.6e+08,-438429273,948349413,1795941481,-747690736,13496672612,1630739586,4973781191,8522891421,-599330949,2.6e+08,1407162095,1200887919,555229833,980556198,5806125985,549668890,1555238252,4250887733,-112101019,2.6e+08,648284776,368468753
"ETILR","HOTELS AND RESTAURANTS",1103643277,33499756,657165076,314767350,369798588,287366488,-24374251,3.6e+08,111681911,945254424,477393092,-19242558,639587859,327785354,384973808,254614051,-2989084,1.2e+08,71125643,414795193,281316444,39430204,416276653,171478940,227055475,189221178,-83531595,1.2e+08,73717492,235387296,29229424,14696191,62541701,9848560,10354660,52187041,-5041477,1.2e+08,44030634,19554281
"ETYAT","INVESTMENT TRUSTS",59786792,-9977889,72406326,2338023,5511112,66895214,-2872438,2e+07,63526574,32289658,59392365,-26713732,82464030,1038936,5705937,76758093,-7971792,2e+07,75015541,32815162,121196306,-32477495,74602585,753196,1630681,72971904,-242934,2e+07,73532788,103071972,182391391,3174265,39872262,154990,392005,39480257,-31712,2e+07,39682948,177375269
"EUHOL","HOLDING AND INVESTMENT COMPANIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUKYO","INVESTMENT TRUSTS",59483660,-11078872,77993835,1710087,3950666,74043169,-1413904,2e+07,65326160,30980954,61021737,-26617693,88747767,1278640,3935999,84811768,-16217079,2e+07,74747854,33068605,117564622,-34296603,79548486,695258,1408496,78139990,-239649,2e+07,78534796,98551571,180229114,3570930,42551821,151523,384684,42167137,-14622,2e+07,42314990,174821310
"EUPWR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",8219713000,223111000,11712489000,2562030000,3604151000,8108338000,-731675000,6.6e+08,4916876000,6175910000,9327358000,1104152000,11898362000,3412416000,4239908000,7658454000,-1366954000,6.6e+08,5174251000,6925246000,3778053000,515458000,3269001000,1374846000,1736795000,1532206000,-236450000,6.6e+08,860496000,2765408000,603548374,104421988,602033652,306922010,335790896,266242756,-90843238,6.6e+08,98548116,439131947
"EUREN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",5236823725,1068891141,9789662966,1263178048,2530112841,7259550125,-1884292624,2.1e+09,1241504677,4266640911,5751787169,918395363,9187261279,1337631875,2996407207,6190854072,-1130284493,2099999928,1801175802,4766607959,4505577427,557454930,4497321937,1141176337,1638791261,2858530676,-362319576,2099999928,1695560029,3737793819,1047573833,114685924,977325277,363487326,508896320,468428957,-24315241,2099999887,178362451,836619868
"EUYO","INVESTMENT TRUSTS",60906543,-8197060,76892887,1807729,3799341,73093546,3956816,2e+07,66738144,32515623,59029940,-26667786,85022476,1447131,4305029,80717447,-10999397,2e+07,74171578,31654311,111937053,-31930556,76960809,746497,1006659,75954150,-132473,2e+07,76041356,93994504,183055535,3486623,40518495,106692,163431,40355064,-20090,2e+07,40389844,177639448
"EYGYO","REAL ESTATE INVESTMENT TRUSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1399799823,242499674,2083822376,629351087,782315242,1301507134,-61110298,2e+08,822127710,1575029655,142454543,317132553,3703310013,2467993897,2641403699,1061906314,-24431930,82500000,645246039,88906565,NA,NA,768554836,609416309,680332317,88222519,NA,82500000,-55282193,NA
"FADE","FOOD, BEVERAGE AND TOBACCO",518446232,-46461590,1775768298,195620053,418811145,1356957153,453422163,83895000,141737037,354003884,468672081,185586686,1802429553,178227801,399034118,1403395435,134802875,83895000,105976870,387215098,252995655,43343518,1123651364,106273657,280112119,843539245,-27121055,83895000,226267236,172791660,68820572,32454241,326825478,42130328,80193466,246632012,-6901443,83895000,56063812,47060053
"FENER","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLAP","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",355665258,-69033848,818513420,43632665,49544929,768968491,-2702310,93750000,118578873,302087709,382073542,180566821,926898961,66823933,73839715,853059246,-1035690,93750000,143123289,309803727,211878948,-37927485,552087915,49997333,74684653,477403262,-79298131,93750000,98246405,182916633,45928148,29841919,189034367,10666092,19443192,169591175,-8428881,93750000,87828673,33797949
