"stock","mainsector","subsector"
"FORMT","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"FORTE","TECHNOLOGY","INFORMATION TECHNOLOGY"
"FRIGO","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"FROTO","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"FZLGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"GARAN","FINANCIAL INSTITUTIONS","BANKS"
"GARFA","FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"GEDIK","FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"GEDZA","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"GENIL","WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"GENTS","MANUFACTURING","WOOD PRODUCTS INCLUDING FURNITURE"
"GEREL","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"GESAN","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"GIPTA","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"GLBMD","FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"GLCVY","FINANCIAL INSTITUTIONS","ASSET MANAGEMENT COMPANIES"
"GLRMK","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"GLRYH","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"GLYHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"GMTAS","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"GOKNR","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"GOLTS","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"GOODY","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"GOZDE","FINANCIAL INSTITUTIONS","VENTURE CAPITAL INVESTMENT TRUSTS"
"GRNYO","FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"GRSEL","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"GRTHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"GSDDE","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"GSDHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"GSRAY","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
"GUBRF","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"GUNDG","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"GWIND","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"GZNMI","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","TRAVEL AGENCY, TOUR OPERATOR, RESERVATION SERVICE AND RELATED ACTIVITIES"
"HALKB","FINANCIAL INSTITUTIONS","BANKS"
"HATEK","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"HATSN","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"HDFGS","FINANCIAL INSTITUTIONS","VENTURE CAPITAL INVESTMENT TRUSTS"
"HEDEF","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"HEKTS","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"HKTM","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"HLGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"HOROZ","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"HRKET","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"HTTBT","TECHNOLOGY","INFORMATION TECHNOLOGY"
"HUBVC","FINANCIAL INSTITUTIONS","VENTURE CAPITAL INVESTMENT TRUSTS"
"HUNER","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"HURGZ","INFORMATION AND COMMUNICATION","PUBLISHING ACTIVITIES"
"ICBCT","FINANCIAL INSTITUTIONS","BANKS"
"ICUGS","FINANCIAL INSTITUTIONS","VENTURE CAPITAL INVESTMENT TRUSTS"
"IDGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"IEYHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"IHAAS","INFORMATION AND COMMUNICATION","INFORMATION SERVICE ACTIVITIES"
"IHEVA","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"IHGZT","INFORMATION AND COMMUNICATION","PUBLISHING ACTIVITIES"
"IHLAS","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"IHLGM","REAL ESTATE ACTIVITIES","REAL ESTATE ACTIVITIES"
"IHYAY","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"IMASM","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"INDES","TECHNOLOGY","INFORMATION TECHNOLOGY"
"INFO","FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"INGRM","TECHNOLOGY","INFORMATION TECHNOLOGY"
"INTEK","TECHNOLOGY","INFORMATION TECHNOLOGY"
"INTEM","WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"INVEO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"INVES","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"IPEKE","MINING AND QUARRYING","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS"
"ISBIR","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"ISCTR","FINANCIAL INSTITUTIONS","BANKS"
"ISDMR","MANUFACTURING","BASIC METAL"
"ISFIN","FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"ISGSY","FINANCIAL INSTITUTIONS","VENTURE CAPITAL INVESTMENT TRUSTS"
"ISGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"ISKPL","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ISMEN","FINANCIAL INSTITUTIONS","BROKERAGE HOUSES"
"ISSEN","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"ISYAT","FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"IZENR","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"IZFAS","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"IZINV","AGRICULTURE, FORESTRY AND FISHING","CROP AND ANIMAL PRODUCTION HUNTING AND RELATED SERVICE ACTIVITIES"
"IZMDC","MANUFACTURING","BASIC METAL"
"JANTS","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KAPLM","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"KAREL","TECHNOLOGY","INFORMATION TECHNOLOGY"
"KARSN","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KARTN","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"KATMR","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KAYSE","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"KBORU","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KCAER","MANUFACTURING","BASIC METAL"
"KCHOL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"KENT","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"KERVN","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"KFEIN","TECHNOLOGY","INFORMATION TECHNOLOGY"
