"stock","mainsector"
"CWENE","ELECTRICITY GAS AND WATER"
"ARASE","ELECTRICITY GAS AND WATER"
"ENJSA","ELECTRICITY GAS AND WATER"
"ENERY","ELECTRICITY GAS AND WATER"
"ESEN","ELECTRICITY GAS AND WATER"
"GWIND","ELECTRICITY GAS AND WATER"
"HUNER","ELECTRICITY GAS AND WATER"
"ENTRA","ELECTRICITY GAS AND WATER"
"IZENR","ELECTRICITY GAS AND WATER"
"LYDYE","ELECTRICITY GAS AND WATER"
"MAGEN","ELECTRICITY GAS AND WATER"
"MOGAN","ELECTRICITY GAS AND WATER"
"NTGAZ","ELECTRICITY GAS AND WATER"
"NATEN","ELECTRICITY GAS AND WATER"
"ODAS","ELECTRICITY GAS AND WATER"
"PAMEL","ELECTRICITY GAS AND WATER"
"SMRTG","ELECTRICITY GAS AND WATER"
"TATEN","ELECTRICITY GAS AND WATER"
"ZEDUR","ELECTRICITY GAS AND WATER"
"ZOREN","ELECTRICITY GAS AND WATER"
"AKFIS","CONSTRUCTION AND PUBLIC WORKS"
"ANELE","CONSTRUCTION AND PUBLIC WORKS"
"BRLSM","CONSTRUCTION AND PUBLIC WORKS"
"DAPGM","CONSTRUCTION AND PUBLIC WORKS"
"EDIP","CONSTRUCTION AND PUBLIC WORKS"
"ENKAI","CONSTRUCTION AND PUBLIC WORKS"
"GESAN","CONSTRUCTION AND PUBLIC WORKS"
"GLRMK","CONSTRUCTION AND PUBLIC WORKS"
"KUYAS","CONSTRUCTION AND PUBLIC WORKS"
"ORGE","CONSTRUCTION AND PUBLIC WORKS"
"SANEL","CONSTRUCTION AND PUBLIC WORKS"
"TURGG","CONSTRUCTION AND PUBLIC WORKS"
"YAYLA","CONSTRUCTION AND PUBLIC WORKS"
"YYAPI","CONSTRUCTION AND PUBLIC WORKS"
"ARZUM","WHOLESALE AND RETAIL TRADE"
"BIMAS","WHOLESALE AND RETAIL TRADE"
"BIZIM","WHOLESALE AND RETAIL TRADE"
"CRFSA","WHOLESALE AND RETAIL TRADE"
"CASA","WHOLESALE AND RETAIL TRADE"
"DCTTR","WHOLESALE AND RETAIL TRADE"
"DOAS","WHOLESALE AND RETAIL TRADE"
"EBEBK","WHOLESALE AND RETAIL TRADE"
"KIMMR","WHOLESALE AND RETAIL TRADE"
"GENIL","WHOLESALE AND RETAIL TRADE"
"GMTAS","WHOLESALE AND RETAIL TRADE"
"INTEM","WHOLESALE AND RETAIL TRADE"
"KOTON","WHOLESALE AND RETAIL TRADE"
"KUVVA","WHOLESALE AND RETAIL TRADE"
"MAVI","WHOLESALE AND RETAIL TRADE"
"MEPET","WHOLESALE AND RETAIL TRADE"
"MGROS","WHOLESALE AND RETAIL TRADE"
"PSDTC","WHOLESALE AND RETAIL TRADE"
"SANKO","WHOLESALE AND RETAIL TRADE"
"SELEC","WHOLESALE AND RETAIL TRADE"
"SOKM","WHOLESALE AND RETAIL TRADE"
"SUWEN","WHOLESALE AND RETAIL TRADE"
"TKNSA","WHOLESALE AND RETAIL TRADE"
"TGSAS","WHOLESALE AND RETAIL TRADE"
"VAKKO","WHOLESALE AND RETAIL TRADE"
"BEYAZ","TRANSPORTATION AND STORAGE"
"CLEBI","TRANSPORTATION AND STORAGE"
"GSDDE","TRANSPORTATION AND STORAGE"
"GRSEL","TRANSPORTATION AND STORAGE"
"HRKET","TRANSPORTATION AND STORAGE"
"HOROZ","TRANSPORTATION AND STORAGE"
"PASEU","TRANSPORTATION AND STORAGE"
"PGSUS","TRANSPORTATION AND STORAGE"
"RYSAS","TRANSPORTATION AND STORAGE"
"TLMAN","TRANSPORTATION AND STORAGE"
"TUREX","TRANSPORTATION AND STORAGE"
"THYAO","TRANSPORTATION AND STORAGE"
"BINHO","FINANCIAL INSTITUTIONS"
"A1CAP","FINANCIAL INSTITUTIONS"
"ADGYO","FINANCIAL INSTITUTIONS"
"AGHOL","FINANCIAL INSTITUTIONS"
"AGESA","FINANCIAL INSTITUTIONS"
"AHSGY","FINANCIAL INSTITUTIONS"
"AKBNK","FINANCIAL INSTITUTIONS"
"AKYHO","FINANCIAL INSTITUTIONS"
"AKFGY","FINANCIAL INSTITUTIONS"
"AKSGY","FINANCIAL INSTITUTIONS"
"AKMGY","FINANCIAL INSTITUTIONS"
"AKGRT","FINANCIAL INSTITUTIONS"
"ALGYO","FINANCIAL INSTITUTIONS"
"ALARK","FINANCIAL INSTITUTIONS"
"ALBRK","FINANCIAL INSTITUTIONS"
"ANSGR","FINANCIAL INSTITUTIONS"
"ANHYT","FINANCIAL INSTITUTIONS"
"ASGYO","FINANCIAL INSTITUTIONS"
"ATAGY","FINANCIAL INSTITUTIONS"
"AGYO","FINANCIAL INSTITUTIONS"
