"stock","subsector"
"EGEGY","REAL ESTATE INVESTMENT TRUSTS"
"EKGYO","REAL ESTATE INVESTMENT TRUSTS"
"EYGYO","REAL ESTATE INVESTMENT TRUSTS"
"FZLGY","REAL ESTATE INVESTMENT TRUSTS"
"HLGYO","REAL ESTATE INVESTMENT TRUSTS"
"IDGYO","REAL ESTATE INVESTMENT TRUSTS"
"ISGYO","REAL ESTATE INVESTMENT TRUSTS"
"KLGYO","REAL ESTATE INVESTMENT TRUSTS"
"KZBGY","REAL ESTATE INVESTMENT TRUSTS"
"KGYO","REAL ESTATE INVESTMENT TRUSTS"
"KRGYO","REAL ESTATE INVESTMENT TRUSTS"
"KZGYO","REAL ESTATE INVESTMENT TRUSTS"
"MRGYO","REAL ESTATE INVESTMENT TRUSTS"
"MHRGY","REAL ESTATE INVESTMENT TRUSTS"
"MSGYO","REAL ESTATE INVESTMENT TRUSTS"
"NUGYO","REAL ESTATE INVESTMENT TRUSTS"
"OZKGY","REAL ESTATE INVESTMENT TRUSTS"
"OZGYO","REAL ESTATE INVESTMENT TRUSTS"
"PAGYO","REAL ESTATE INVESTMENT TRUSTS"
"PSGYO","REAL ESTATE INVESTMENT TRUSTS"
"PEKGY","REAL ESTATE INVESTMENT TRUSTS"
"RYGYO","REAL ESTATE INVESTMENT TRUSTS"
"SEGYO","REAL ESTATE INVESTMENT TRUSTS"
"SRVGY","REAL ESTATE INVESTMENT TRUSTS"
"SNGYO","REAL ESTATE INVESTMENT TRUSTS"
"SURGY","REAL ESTATE INVESTMENT TRUSTS"
"TRGYO","REAL ESTATE INVESTMENT TRUSTS"
"TDGYO","REAL ESTATE INVESTMENT TRUSTS"
"TSGYO","REAL ESTATE INVESTMENT TRUSTS"
"VKGYO","REAL ESTATE INVESTMENT TRUSTS"
"VRGYO","REAL ESTATE INVESTMENT TRUSTS"
"YGGYO","REAL ESTATE INVESTMENT TRUSTS"
"YGYO","REAL ESTATE INVESTMENT TRUSTS"
"ZRGYO","REAL ESTATE INVESTMENT TRUSTS"
"ATLAS","INVESTMENT TRUSTS"
"EUKYO","INVESTMENT TRUSTS"
"EUYO","INVESTMENT TRUSTS"
"ETYAT","INVESTMENT TRUSTS"
"GRNYO","INVESTMENT TRUSTS"
"ISYAT","INVESTMENT TRUSTS"
"MTRYO","INVESTMENT TRUSTS"
"OYAYO","INVESTMENT TRUSTS"
"VKFYO","INVESTMENT TRUSTS"
"GOZDE","VENTURE CAPITAL INVESTMENT TRUSTS"
"HDFGS","VENTURE CAPITAL INVESTMENT TRUSTS"
"HUBVC","VENTURE CAPITAL INVESTMENT TRUSTS"
"ICUGS","VENTURE CAPITAL INVESTMENT TRUSTS"
"ISGSY","VENTURE CAPITAL INVESTMENT TRUSTS"
"PRDGS","VENTURE CAPITAL INVESTMENT TRUSTS"
"VERTU","VENTURE CAPITAL INVESTMENT TRUSTS"
"MACKO","SPORTS ENTERTAINMENT AND RECREATIONAL SERVICES"
"LKMNH","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"MPARK","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"EGEPO","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"TNZTP","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"BJKAS","SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
"FENER","SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
"GSRAY","SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
"TSPOR","SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
"ALCTL","INFORMATION TECHNOLOGY"
"ARDYZ","INFORMATION TECHNOLOGY"
"ARENA","INFORMATION TECHNOLOGY"
"ATATP","INFORMATION TECHNOLOGY"
"AZTEK","INFORMATION TECHNOLOGY"
"BINBN","INFORMATION TECHNOLOGY"
"DGATE","INFORMATION TECHNOLOGY"
"DESPC","INFORMATION TECHNOLOGY"
"EDATA","INFORMATION TECHNOLOGY"
"ESCOM","INFORMATION TECHNOLOGY"
"FONET","INFORMATION TECHNOLOGY"
"FORTE","INFORMATION TECHNOLOGY"
"HTTBT","INFORMATION TECHNOLOGY"
"INDES","INFORMATION TECHNOLOGY"
"INGRM","INFORMATION TECHNOLOGY"
"INTEK","INFORMATION TECHNOLOGY"
"KFEIN","INFORMATION TECHNOLOGY"
"KAREL","INFORMATION TECHNOLOGY"
"KRONT","INFORMATION TECHNOLOGY"
"LINK","INFORMATION TECHNOLOGY"
"LOGO","INFORMATION TECHNOLOGY"
"MANAS","INFORMATION TECHNOLOGY"
"MTRKS","INFORMATION TECHNOLOGY"
"MIATK","INFORMATION TECHNOLOGY"
"MOBTL","INFORMATION TECHNOLOGY"
"NETAS","INFORMATION TECHNOLOGY"
"OBASE","INFORMATION TECHNOLOGY"
"ODINE","INFORMATION TECHNOLOGY"
"PAPIL","INFORMATION TECHNOLOGY"
"PATEK","INFORMATION TECHNOLOGY"
"PENTA","INFORMATION TECHNOLOGY"
"PKART","INFORMATION TECHNOLOGY"
"REEDR","INFORMATION TECHNOLOGY"
"SMART","INFORMATION TECHNOLOGY"
"VBTYZ","INFORMATION TECHNOLOGY"
"ALTNY","DEFENSE"
"ASELS","DEFENSE"
"ONRYT","DEFENSE"
"SDTTR","DEFENSE"
"SKYLP","LEGAL AND ACCOUNTING ACTIVITIES"
"KONTR","ARCHITECTURAL AND ENGINEERING ACTIVITIES; TECHNICAL TESTING AND ANALYSIS"
"YEOTK","ARCHITECTURAL AND ENGINEERING ACTIVITIES; TECHNICAL TESTING AND ANALYSIS"
"PCILT","ADVERTISING AND MARKET RESEARCH"
"BORLS","RENTAL AND LEASING ACTIVITIES"
"ESCAR","RENTAL AND LEASING ACTIVITIES"
"LIDER","RENTAL AND LEASING ACTIVITIES"
"PLTUR","RENTAL AND LEASING ACTIVITIES"
"GZNMI","TRAVEL AGENCY, TOUR OPERATOR, RESERVATION SERVICE AND RELATED ACTIVITIES"
"SNKRN","SECURITY AND INVESTIGATION ACTIVITIES"
"CEOEM","OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES"
"FLAP","OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES"
"ADESE","REAL ESTATE ACTIVITIES"
"IHLGM","REAL ESTATE ACTIVITIES"
"RGYAS","REAL ESTATE ACTIVITIES"
"SONME","REAL ESTATE ACTIVITIES"
"AYCES","ACCOMODATION"
"AVTUR","ACCOMODATION"
"KSTUR","ACCOMODATION"
"MAALT","ACCOMODATION"
"MARTI","ACCOMODATION"
"MERIT","ACCOMODATION"
"PKENT","ACCOMODATION"
"TEKTU","ACCOMODATION"
"ULAS","ACCOMODATION"
"BYDNR","FOOD AND BEVERAGE SERVICES"
"BIGCH","FOOD AND BEVERAGE SERVICES"
"DOCO","FOOD AND BEVERAGE SERVICES"
"ETILR","FOOD AND BEVERAGE SERVICES"
"TABGD","FOOD AND BEVERAGE SERVICES"
"IHAAS","INFORMATION SERVICE ACTIVITIES"
"DOBUR","PUBLISHING ACTIVITIES"
"HURGZ","PUBLISHING ACTIVITIES"
"IHGZT","PUBLISHING ACTIVITIES"
"TCELL","TELECOMMUNICATIONS"
"TTKOM","TELECOMMUNICATIONS"
