"stock","subsector"
"MEDTR","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"MERCN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ONCSM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"OZRDN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"PETKM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"POLTK","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"RNPOL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SANFM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SASA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SEKUR","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SEYKM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"SODSN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"TARKM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"TMPOL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"TUPRS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"TRILC","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"AFYON","NON-METALLIC MINERAL PRODUCTS"
"AKCNS","NON-METALLIC MINERAL PRODUCTS"
"BASCM","NON-METALLIC MINERAL PRODUCTS"
"BTCIM","NON-METALLIC MINERAL PRODUCTS"
"BSOKE","NON-METALLIC MINERAL PRODUCTS"
"BIENY","NON-METALLIC MINERAL PRODUCTS"
"BOBET","NON-METALLIC MINERAL PRODUCTS"
"BUCIM","NON-METALLIC MINERAL PRODUCTS"
"CGCAM","NON-METALLIC MINERAL PRODUCTS"
"CMBTN","NON-METALLIC MINERAL PRODUCTS"
"CMENT","NON-METALLIC MINERAL PRODUCTS"
"CIMSA","NON-METALLIC MINERAL PRODUCTS"
"DOGUB","NON-METALLIC MINERAL PRODUCTS"
"EGSER","NON-METALLIC MINERAL PRODUCTS"
"GOLTS","NON-METALLIC MINERAL PRODUCTS"
"KLKIM","NON-METALLIC MINERAL PRODUCTS"
"KLSER","NON-METALLIC MINERAL PRODUCTS"
"KONYA","NON-METALLIC MINERAL PRODUCTS"
"KUTPO","NON-METALLIC MINERAL PRODUCTS"
"LMKDC","NON-METALLIC MINERAL PRODUCTS"
"NIBAS","NON-METALLIC MINERAL PRODUCTS"
"NUHCM","NON-METALLIC MINERAL PRODUCTS"
"OYAKC","NON-METALLIC MINERAL PRODUCTS"
"QUAGR","NON-METALLIC MINERAL PRODUCTS"
"MARBL","NON-METALLIC MINERAL PRODUCTS"
"USAK","NON-METALLIC MINERAL PRODUCTS"
"YBTAS","NON-METALLIC MINERAL PRODUCTS"
"AYES","BASIC METAL"
"BMSTL","BASIC METAL"
"BMSCH","BASIC METAL"
"BRSAN","BASIC METAL"
"BURCE","BASIC METAL"
"BURVA","BASIC METAL"
"CELHA","BASIC METAL"
"CEMAS","BASIC METAL"
"CEMTS","BASIC METAL"
"CUSAN","BASIC METAL"
"DMSAS","BASIC METAL"
"DOFER","BASIC METAL"
"DOKTA","BASIC METAL"
"ERBOS","BASIC METAL"
"ERCB","BASIC METAL"
"EREGL","BASIC METAL"
"ISDMR","BASIC METAL"
"IZMDC","BASIC METAL"
"KRDMD","BASIC METAL"
"TCKRC","BASIC METAL"
"KCAER","BASIC METAL"
"KOCMT","BASIC METAL"
"MEGMT","BASIC METAL"
"OZYSR","BASIC METAL"
"PNLSN","BASIC METAL"
"SARKY","BASIC METAL"
"TUCLK","BASIC METAL"
"YKSLN","BASIC METAL"
"ALCAR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ALVES","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ASUZU","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ARCLK","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"ASTOR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
